Type,Most Popular Breed,Number of Registered,Total/percentage,percentage in type,percentage in total
Dog,Labrador Retriever,60931,360678,16.8934617581333%,7.05302028402065%
Dog,Chihuahua,42244,41.75%,11.7123861172569%,4.88992120395477%
Dog,German Shepherd,27712,,7.68330754856132%,3.20778090152435%
Dog,Shih Tzu,23883,,6.6216958062316%,2.76455799910169%
Dog,Golden Retriever,22828,,6.32919113447452%,2.64243729864311%
Dog,American Pit Bull Terrier,22675,,6.28677102567942%,2.62472690322116%
Dog,Dachshund,22430,,6.21884340048464%,2.59636711970234%
Dog,Yorkshire Terrier,21050,,5.8362306544896%,2.43662629824941%
Dog,Pug,20875,,5.78771092220762%,2.41636931002168%
Dog,Boxer,20576,,5.7048114939087%,2.38175879870688%
Dog,Beagle,20144,,5.58503706907546%,2.33175297633901%
Dog,Jack Russell Terrier,15869,,4.39976932332995%,1.83690369249025%
Dog,Pomeranian,13955,,3.86910207997161%,1.61535011838815%
Dog,Border Collie,13255,,3.67502315084369%,1.53432216547724%
Dog,Mixed Breed,12251,,3.39665851535164%,1.41810493015931%
Cat,Domestic Shorthair,61046,184744,33.0435629844542%,10.7920276707227%
Cat,American Shorthair,37545,32.66%,20.322716840601%,6.6373993201403%
Cat,Domestic Medium Hair,16776,,9.08067379725458%,2.96574806218334%
Cat,Domestic Long Hair,15049,,8.14586671285671%,2.660440068419%
Cat,Siamese,14582,,7.89308448447582%,2.5778813926298%
Cat,Maine Coon,10852,,5.87407439483826%,1.91847269735418%
Cat,Persian,6717,,3.6358420300524%,1.18746600701511%
Cat,Russian Blue,3864,,2.09154289178539%,0.683097908457108%
Cat,Himalayan,3701,,2.0033126921578%,0.654281925258736%
Cat,Ragdoll,3567,,1.93077989000996%,0.630592712077253%
Cat,Bengal,3118,,1.68774087385788%,0.551216169401983%
Cat,Manx,2349,,1.27148919586022%,0.415268371367947%
Cat,British Shorthair,2171,,1.17513965270861%,0.383800610574633%
Cat,Norwegian Forest Cat,1827,,0.988936041224613%,0.322986511063959%
Cat,Bombay,1580,,0.855237517862556%,0.279320573333911%
